ATOMMETA|1|0|0|0|6|0|0|0|0|CA|0|0|CH1E|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|2|ALA|0|ALAD|0|0|0|0|0
ATOMMETA|1|0|0|0|5|0|0|0|0|H|0|0|H|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|2|ALA|0|ALAD|0|0|0|0|0
ATOMMETA|1|0|0|0|8|0|0|0|0|C|0|0|C|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|2|ALA|0|ALAD|0|0|0|0|0
ATOMMETA|1|0|0|0|7|0|0|0|0|CB|0|0|CH3E|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|2|ALA|0|ALAD|0|0|0|0|0
ATOMMETA|1|0|0|0|10|0|0|0|0|N|0|0|NH1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|3|CBX|0|ALAD|0|0|0|0|0
ATOMMETA|1|0|0|0|9|0|0|0|0|O|0|0|O|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|2|ALA|0|ALAD|0|0|0|0|0
ATOMMETA|1|0|0|0|12|0|0|0|0|CA|0|0|CH3E|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|3|CBX|0|ALAD|0|0|0|0|0
ATOMMETA|1|0|0|0|11|0|0|0|0|H|0|0|H|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|3|CBX|0|ALAD|0|0|0|0|0
ATOMMETA|1|0|0|0|2|0|0|0|0|C|0|0|C|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|1|AMN|0|ALAD|0|0|0|0|0
ATOMMETA|1|0|0|0|1|0|0|0|0|CL|0|0|CH3E|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|1|AMN|0|ALAD|0|0|0|0|0
ATOMMETA|1|0|0|0|4|0|0|0|0|N|0|0|NH1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|2|ALA|0|ALAD|0|0|0|0|0
ATOMMETA|1|0|0|0|3|0|0|0|0|O|0|0|O|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|1|AMN|0|ALAD|0|0|0|0|0
IMPROPERDIHEDRALS|1|0|0|0|0|2|1|4|3|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|100|0|0|1|0|0|0|0|0|0|0|0|0
IMPROPERDIHEDRALS|1|0|0|0|0|8|6|10|9|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|100|0|0|1|0|0|0|0|0|0|0|0|0
IMPROPERDIHEDRALS|1|0|0|0|0|4|2|6|5|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|45|0|0|1|0|0|0|0|0|0|0|0|0
IMPROPERDIHEDRALS|1|0|0|0|0|10|8|12|11|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|45|0|0|1|0|0|0|0|0|0|0|0|0
IMPROPERDIHEDRALS|1|0|0|0|0|6|4|8|7|0|0|0|0|0|0|0|0|0|0|0|0|35.26439|0|0|55|0|0|1|0|0|0|0|0|0|0|0|0
ANGLES|1|0|120|77.5|0|8|10|12|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0
ANGLES|1|0|108.5|65|0|4|6|7|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0
ANGLES|1|0|120|77.5|0|2|4|6|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0
ANGLES|1|0|117.5|20|0|1|2|4|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0
