BIDS|1|25260635|36721|1|100|10000
ASKS|1|25260709|36909|9|50|238500
ASKS|1|25260709|36911|1|30|276900
ASKS|1|25260710|36913|3|50|237500
ASKS|1|25260712|36923|3|30|280000
ASKS|1|25260714|36932|2|35|327100
BIDS|1|25260771|37229|9|10|184000
BIDS|1|25260772|37237|7|55|190000
BIDS|1|25260775|37263|3|10|160700
BIDS|1|25260775|37267|7|10|173700
BIDS|1|25260776|37271|1|28|176000
BIDS|1|25260776|37275|5|10|175300
BIDS|1|25260779|37299|9|5|100700
BIDS|0|25260776|37271|1|28|176000
BIDS|0|25260771|37229|9|10|184000
BIDS|0|25260772|37237|7|55|190000
BIDS|1|25265772|46348|8|28|176000
BIDS|1|25265779|46355|5|10|184000
BIDS|0|25260775|37263|3|10|160700
BIDS|0|25260775|37267|7|10|173700
BIDS|0|25260779|37299|9|5|100700
BIDS|0|25260776|37275|5|10|175300
BIDS|1|25265797|46363|3|55|190000
BIDS|1|25265830|46388|8|10|160700
BIDS|1|25265832|46396|6|10|173700
BIDS|1|25265833|46399|9|5|100700
BIDS|1|25265833|46400|0|10|175300
ASKS|1|25313084|54891|1|25|214900
ASKS|1|25323008|56176|6|500|202500
BIDS|1|25330601|57976|6|500|195000
BIDS|1|25381203|62467|7|1|10000
BIDS|1|25386866|62859|9|1|10000
BIDS|0|25386866|62859|9|1|10000
BIDS|0|25381203|62467|7|1|10000
BIDS|0|25260635|36721|1|100|10000
BIDS|1|25419426|69377|7|1|10000
BIDS|1|25424677|70367|7|1|10000
BIDS|0|25424677|70367|7|1|10000
BIDS|0|25419426|69377|7|1|10000
BIDS|1|25499558|87913|3|100|10000
BIDS|0|25499558|87913|3|100|10000
BIDS|1|25509632|90097|7|800|195200
BIDS|1|25515315|90939|9|1|10000
BIDS|1|25520615|91729|9|1|10000
BIDS|0|25330601|57976|6|500|195000
BIDS|1|25587868|101635|5|200|195200
BIDS|0|25515315|90939|9|1|10000
BIDS|0|25587868|101635|5|200|195200
BIDS|1|25615272|106653|3|200|195300
